asset_id,asset_type,date,price,volume,currency,exchange,market_cap_usd
AAPL,stock,2024-01-02,185.20,58921034,USD,NASDAQ,2890000000000
KRW-BTC,crypto,2024-01-02,57100000,125.4321,KRW,Upbit,850000000000
USDT-ETH,crypto,2024-01-02,2235.80,15678.9012,USDT,Binance,268000000000
005930,stock,2024-01-02,71800,14523678,KRW,KRX,420000000000
TSLA,stock,2024-01-02,249.75,101234567,USD,NASDAQ,795000000000
AAPL,stock,2024-01-03,186.10,62345012,USD,NASDAQ,2903000000000
KRW-BTC,crypto,2024-01-03,57800000,132.1234,KRW,Upbit,865000000000
USDT-ETH,crypto,2024-01-03,2255.40,16234.5678,USDT,Binance,270000000000
005930,stock,2024-01-03,72600,16234567,KRW,KRX,426000000000
TSLA,stock,2024-01-03,254.20,98765432,USD,NASDAQ,811000000000
