ticker,date,open,high,low,close,volume,market,currency
AAPL,2024-01-02,185.72,186.30,183.91,185.20,58921034,US,USD
TSLA,2024-01-02,248.50,252.00,244.10,249.75,101234567,US,USD
005930,2024-01-02,71400,72500,70900,71800,14523678,KR,KRW
000660,2024-01-02,128500,130000,127000,129500,3245678,KR,KRW
NVDA,2024-01-02,495.10,498.50,490.30,495.80,42167823,US,USD
AAPL,2024-01-03,185.20,186.80,184.50,186.10,62345012,US,USD
TSLA,2024-01-03,249.75,255.30,248.00,254.20,98765432,US,USD
005930,2024-01-03,71800,73200,71500,72600,16234567,KR,KRW
000660,2024-01-03,129500,131500,129000,131000,3567890,KR,KRW
NVDA,2024-01-03,495.80,502.40,494.20,501.60,45678901,US,USD
